ref:FR:prix-carburants,brand,name,operator,branch
78290001,,,Carrefour,
78430005,Total,Relais Total De Louveciennes,Total,
78230006,TotalEnergies,TotalEnergies Relais Parc de Marly,,
58110003,Bi1,,,
58290001,Bi1,,,
58110001,Avia,Avia,,
59750004,Carrefour,Carrefour Market,,
59570001,,Match,,
60490001,Carrefour,,,
60490007,TotalEnergies,Relais Ressons Est,Total,
60150005,Carrefour,Carrefour Market,,
60490008,Total Access,Total Access,Total,
60150003,Station U,Station U,,
60200002,,Ets Guerdin,Sarl Max Guerdin,
60200005,Esso,Esso,Esso,
80340004,Carrefour,Carrefour,,
80300001,Système U,Station U,,
80800002,Simply,,,
80380001,Total,Total,,
59440001,Carrefour,Carrefour,,
59440002,Esso Express,Esso Express,,
59219001,Total,,,
59138001,Total,Total,,
59197001,,Match,,
59620005,E.Leclerc,Station Service E.Leclerc,,
59620002,Auchan,Auchan,,
59550003,Gulf,,,
2400008,Avia,Avia,,
51100044,Total,Relais des Belges,,
60300007,Total,Total,,
60300009,BP,BP,BP,
60700005,E.Leclerc,Station Service E.Leclerc,E. Leclerc,
60300008,BP,BP,,
60300010,Total,Total,SEMAC,
60700004,Total Access,Relais Pont Sainte-Maxence,,
93190006,BP,BP,,
2190007,Carrefour,Carrefour,Carrefour,
2280001,Intermarché,Intermarché,,
56430001,Station U,,Super U,
56430002,TotalEnergies,TotalEnergies,,
35510001,Carrefour,Carrefour,,
35590004,Shell,Shell,Shell,
75020008,Total,Total Davout,,
58700002,Carrefour,,,
58320001,Carrefour,Carrefour Contact,,
35130001,Super U,Super U,,
35370004,Intermarché,Intermarché,,
